time(s),dP1(Pa)
1519510916.988503,  0.688206
1519510917.017719,  0.617012
1519510917.046937,  0.688206
1519510917.076197,  0.688206
1519510917.105409,  0.688206
1519510917.134638,  0.711937
1519510917.163882,  0.688206
1519510917.193120,  0.688206
1519510917.222348,  0.711937
1519510917.251564,  0.688206
1519510917.280864,  0.664474
1519510917.310130,  0.688206
1519510917.339360,  0.640743
1519510917.368580,  0.664474
1519510917.397800,  0.640743
1519510917.427039,  0.664474
1519510917.456257,  0.688206
1519510917.485474,  0.640743
1519510917.514701,  0.640743
1519510917.543923,  0.664474
1519510917.573148,  0.664474
1519510917.602379,  0.664474
1519510917.631593,  0.664474
1519510917.660806,  0.640743
1519510917.690021,  0.688206
1519510917.719243,  0.711937
1519510917.748459,  0.664474
1519510917.777673,  0.735668
1519510917.806889,  0.664474
1519510917.836110,  0.640743
1519510917.865330,  0.617012
1519510917.894551,  0.711937
1519510917.923763,  0.617012
1519510917.952994,  0.640743
1519510917.982204,  0.640743
1519510918.011422,  0.664474
1519510918.040637,  0.640743
1519510918.069849,  0.640743
1519510918.099071,  0.688206
1519510918.128295,  0.664474
1519510918.157517,  0.735668
1519510918.186729,  0.711937
1519510918.215947,  0.688206
1519510918.245158,  0.640743
1519510918.274368,  0.664474
1519510918.303592,  0.640743
1519510918.332811,  0.664474
1519510918.362021,  0.617012
1519510918.391246,  0.688206
1519510918.420463,  0.664474
1519510918.449685,  0.688206
1519510918.478903,  0.640743
1519510918.508128,  0.688206
1519510918.537352,  0.688206
1519510918.566566,  0.664474
1519510918.595773,  0.711937
1519510918.624978,  0.617012
1519510918.654190,  0.593281
1519510918.683394,  0.688206
1519510918.712616,  0.569550
1519510918.741829,  0.640743
1519510918.771051,  0.664474
1519510918.800310,  0.664474
1519510918.829546,  0.688206
1519510918.858752,  0.664474
1519510918.887964,  0.688206
1519510918.917180,  0.664474
1519510918.946397,  0.688206
1519510918.975598,  0.593281
1519510919.004811,  0.664474
1519510919.034038,  0.711937
1519510919.063263,  0.664474
1519510919.092492,  0.664474
1519510919.121707,  0.640743
1519510919.150929,  0.569550
1519510919.180143,  0.640743
1519510919.209360,  0.688206
1519510919.238584,  0.664474
1519510919.267801,  0.664474
1519510919.297018,  0.617012
1519510919.326239,  0.593281
1519510919.355460,  0.640743
1519510919.384678,  0.688206
1519510919.413895,  0.617012
1519510919.443107,  0.664474
1519510919.472329,  0.688206
1519510919.501548,  0.688206
1519510919.530779,  0.664474
1519510919.559991,  0.711937
1519510919.589239,  0.593281
1519510919.618456,  0.711937
1519510919.647676,  0.640743
1519510919.676895,  0.640743
1519510919.706119,  0.617012
1519510919.735340,  0.593281
1519510919.764554,  0.664474
1519510919.793764,  0.664474
1519510919.822976,  0.640743
1519510919.852192,  0.735668
